HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE,MR,PHOA
'2DF0,p riser 35' 11,"tdl 27""7'",,,,,,,22 2,,,,20 2,21 3,,,,,splice pole,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",278
'2E0C,,tdl 25 4,,23,,,,,21 2,,,,15 11,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 38 inches from lowest power.
",266
'2E28,,sec dl 27 1,,,,,,,20 11,,,,15 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",253
'2E44,,tdl 27,,,,,,,22,,,,16,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",276
'2E60,,sec dl 31 5,,,,,,,22 9,,,,16 5,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",285
'1A4,,sec 28 8,,dl 24 8,,,,,21 2,,,,19 8,18 9,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",266
'1C0,,n 23 11,,,,,,,23 4,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA is 5 inches above lowest power.
",292
'1DC,sec 25 3,sec dl 23 7,,,,,,,21 7,,,,,,,,,,anc e,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 12 inches from lowest power.
",271
'1F8,,sec 21 10,,,,,,,18 6,,,,,,,,,,ank w,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 28 inches from lowest power.
",234
'214,sec 28 10,sec dl 27,,,,,,,21 2,,,,20 2,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",266
'230,n 24 6,sec dl 22 9,,,,,,,19 4,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 29 inches from lowest power.
",244
'24C,,n 23 8,,,,,,,19 7,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 37 inches from lowest power.
",247
'268,,sec dl 24 2,,,,,,,22 3,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 11 inches from lowest power.
",279
'2A0,,n 24 11,,,,,,,21 2,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 33 inches from lowest power.
",266
'2BC,n 24,trans dl 22 3,,,,,,,20 3,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 12 inches from lowest power.
",255
'2F4,n 24 10,n 24 10,,,,,,,20 5,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",257
'310,pole 24 4,p 23 10 (wood),,,,,,,18 2,,,,,,,,,,change out needed,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",230
'32C,40 approx,p 35+,,,,,,,26 6,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",330
'348,,p 33,,,,,,,25 6,,,,,,,,,,ank w,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",318
'364,sec 25 7,sec dl 24,,,,,,,22 3,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 9 inches from lowest power.
",279
'39C,,sec 25 3,,,,,,,20'7,,,,20 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",259
'3D4,,sec 25 4,,,,,,,21 6,,,,20 4,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 34 inches from lowest power.
",270
'3F0,,sec 26 8,,,,,,,21 10,,,,20 8,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'40C,,n 26,,,,,,,22 1,,,,20 10,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 35 inches from lowest power.
",277
'444,,n 32,,,,,,,25 3,,,,24 2,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",315
'460,,n 29 1,,,,,,,22 4,,,,21 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",280
'498,n 25 7,tdl 23 6,,,,,,,22 1,,,,20 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 5 inches from lowest power.
",277
'4D0,,n 29 1,,,,,,,22 6,,,,20 6,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",282
'4EC,n 25 10,tdl 24 5,,,,,,,20 8,,,,19 7,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 33 inches from lowest power.
",260
'524,,n 26 9,,,,,,,21 10,,,,20 5,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'540,,n 27 11,,,,,,,21 10,,,,20 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'578,n 27 8,tdl 26 6,,,,,,,22,,,,20 11,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",276
'5B0,,n \ sec 25 9,,,,,,,21 10,,,,20 8,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'5CC,n \ sec 25 1,tdl 23 9,,,,,,,19 5,,,,18 4,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",245
'604,,n 28 1,,,,,,,21 9,,,,20 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",273
'620,,n 25 7,,,,,,,22 1,,,,20 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 30 inches from lowest power.
",277
'658,n 27 2,tdl 25 8,,,,,,,22 1,,,,20 10,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 31 inches from lowest power.
",277
'674,,n 27 5,,,,,,,21 3,,,,21 2,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",267
'6AC,,n 26 8,,,,,,,22 3,,,,21 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",279
'6C8,n 25 11,tdl 24 6,,dl 23 10,,,,,21 8,,,,20 7,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 22 inches from lowest power.
",272
'6E4,n 24 11,tdl 23 11,,,,,,,20 10,,,,19 10,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 34 inches from lowest power.
",253
'71C,,n 26 1,,,,,,,22 3,,,,21 3,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 34 inches from lowest power.
",279
'738,,n 29 6,,27 1,,,,,22 8,,,,21 9,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",284
'770,,"pl ht 28' 9""",,,,,,,27 6,,,,22 3,,,,,,riser down pole,TELCOPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 3 inches from top of this pole.
",342
'78C,,pp 32 9,,,,,,,24 10,,,,22 1,,,,,,riser up pole,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",301
'7C4,n 25 6,tdl 24 7,,,,,,,21 6,,,,20 4,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 25 inches from lowest power.
",270
'7E0,n 26 8,p riser 27 1,,,,,,,22 3,,,,17 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",279
'7FC,,n 26 9,,,,,,,23 1,,,,21 6,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 32 inches from lowest power.
",289
'818,,n 25 3,,,,,,,22 3,,,,16 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 24 inches from lowest power.
",279
'834,tdl 25 3,n 25 3,,,,,,,22 1,,,,20,,,,,,ank e,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",277
'86C,n 25 9,tdl 24 5,,,,,,,22 3,,,,,,,,,,ank w,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 14 inches from lowest power.
",279
'888,n 25 9,tdl 24 2,,,,,,,22 3,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 11 inches from lowest power.
",279
'8A4,,n \ sec 30 3,,,,,,,20 11,,,,20,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",253
'8DC,,n 29 10,,,,,,,20 8,,,,19 6,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",260
'8F8,,n 29 8,,dl 24 2,,,,,21,,,,20 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",264
'930,,n 32 6,,,,,,,22 7,,,,21 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",283
'968,n 31 2,p riser 29 8,p riser 30 9,,,,,,23 5,,,,22 4,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",293
'984,n 28 5,tdl 26 2,,,,,,,23 3,,,,22 3,,,,,,ank w,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 23 inches from lowest power.
",291
'9A0,,n 25 7,,,,,,,20 10,,,,19 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",253
'9D8,,n 27 4,,,,,,,20 7,,,,19 3,,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",259
'9F4,,n 26 5,,,,,,,20 8,,,,19 8,,,,,,ank w,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",260
'A10,n 26,tdl 23 9,,,,,,,21 1,,,,20,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 20 inches from lowest power.
",265
'A48,n 25 7,tdl 24 8,,,,,,,21 8,,,,20 9,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 24 inches from lowest power.
",272
'A64,,n 26 2,,,,,,,21,,,,19 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",264
'AB8,,n 24 7,,,,,,,19 9,,,,18 7,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",249
'AD4,n 26 9,tdl 24 9,,,,,,,22,,,,21,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 21 inches from lowest power.
",276
'AF0,n 27 8,tdl 26 4,,,,,,,20 9,,,,19 5,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",261
'B28,,n 30 8,,,,,,,23 4,,,,22 2,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",292
'B44,n 26 1,tdl 27 1,,,,,,,23 1,,,,22 1,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 24 inches from lowest power.
",289
'B60,n 26 1,tdl 25,,,,,,,22,,,,22 10,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 23 inches from lowest power.
",277
'B7C,,n 30 2,,,,,,,24 1,,,,23,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",301
'BB4,sec 30 7,sec dl 30,,26,,,,,23 8,,,,22 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",296
'C08,,n 31 7,,,,,,,,,,,19 9,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",249
'C24,,n 29 9,,,,,,,,,,,18 3,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",231
'C40,n 31 4,tdl 30 6,pp 30 10,,,,,,,,,,19 8,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",248
'C5C,,n 35+,,,,,,,,,,,19 10,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",241
'C94,,n 35+,,,,,,,,,,,19 9,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",249
'CCC,,n 35+,,,,,,,,,,,19 11,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",241
'D04,,n 35+,,,,,,,,,,,23 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",289
'D20,n 26 11,tdl 26 9,,,,,,,,,,,23,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 33 inches from lowest power.
",288
'D3C,n 31 6,tdl 30 5,,,,,,,,,,,19 11,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",241
'D74,sec 24 9,sec dl 23 7,,,,,,,,,,,20 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 30 inches from lowest power.
",253
'D90,,n 27,,,,,,,,,,,20,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",252
'DAC,,n 28 10,,,,,,,,,,,21 2,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",266
'DE4,,n 28 8,,,,,,,,,,,20 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",260
'E00,,n 26 11,,,,,,,,,,,21 10,,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'E1C,,n 25 8,,,,,,,,,,,21 2,fiber 22 1,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 31 inches from lowest power.
",277
'E70,,n 25 7,,,,,,,,,,,20,fiber 21,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",264
'E8C,,n 25 1,,,,,,,,,,,20 11,fiber 20 1,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",253
'EA8,,n 25 9,,,,,,,,,,,19 8,fiber 20 8,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",260
'EE0,,n 26 2,,,,,,,,,,,20,fiber 21,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",264
'EFC,n 29 9,tdl 28 7,,,,,,,,,,,19 5,fiber 20 6,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",258
'F18,,n 25 9,,,,,,,,,,,20 3,fiber 21 6,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 39 inches from lowest power.
",270
'F50,sec 29 1,sec dl 27 6,,,,,,,,,,,20 3,fiber 21 6,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",270
'F88,,sec \ n 28 11,,,,,,,,,,,20 11,fiber 22,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",276
'FC0,,n 25 6,,,,,,,,,,,17 11,fiber 19,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",240
'FDC,,n 23 1,,,,,,,,,,,19 4,fiber 20 5,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 20 inches from lowest power.
",257
'1014,,n 26,,,,,,,,,,,20 7,fiber 21 6,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",270
'1030,,n 26,,,,,,,,,,,20 5,fiber 21 5,,,,,ank w,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",269
'1068,sec \ n 25 2,sec dl 24 2,,,,,,,,,,,20 3,fiber 21 4,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 22 inches from lowest power.
",268
'10A0,,n 28 1,,,,,,,,,,,18 10,fiber 20 3,,,,,ank e,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",255
'10F4,,n 30 8,,,,,,,,,,,19 1,fiber 20 4,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",256
'1110,,n 25 9,,,,,,,,,,,19 1,fiber 20 2,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",254
'1164,n 24 5,tdl 23 3,,,,,,,,,,,18 11,fiber 20 3,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 24 inches from lowest power.
",255
'1180,,n 26 2,,,,,,,,,,,19 2,fiber 20 3,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",255
'11B8,,n 25 6,,,,,,,,,,,19,fiber 21 4,,,,,ank n,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 38 inches from lowest power.
",268
'11D4,,n 26 3,,,,,,,21 3,,,,20 3,,,,,,ank s,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",267
'1260,,sec 35+,,,,,,,19 3,,,,18 \ 15 8 - arm h n l bolts,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",243
'127C,,sec \ n 28,,,,,,,19 7,,,,18 8,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",247
'12B4,sec \ n 29 8,sec dl 28 4,,,,,,,21 2,,,,20 3,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",266
'1308,,sec 27 11,,,,,,,20 8,,,,19 6,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",260
'1324,,sec 26 1,,dl 24 3,,,,,23 7,22 9,,,22 5,19 10,,,,,ank w,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 18 inches from lowest power.
",295
